protocol,calibration_error_K,T_sw_prior_width_after_calibration,effective_prior_width,noise,seed,relative_error,gamma_est,success_le_0p1,success_le_0p15,success_le_0p2,finite_result
ltp_ltd,0.08,0.05,0.05,0.02,2030,0.1067708079030967,498046863.5563935,False,True,True,True
ltp_ltd,0.08,0.05,0.05,0.05,2026,0.1130913686523656,500891115.8935645,False,True,True,True
ltp_ltd,0.08,0.05,0.05,0.05,2027,0.11316738547985258,500925323.4659336,False,True,True,True
ltp_ltd,0.08,0.05,0.05,0.05,2028,0.1130875814154566,500889411.6369555,False,True,True,True
ltp_ltd,0.08,0.05,0.05,0.05,2029,0.11292532794794809,500816397.57657665,False,True,True,True
ltp_ltd,0.08,0.05,0.05,0.05,2030,0.11282980016708413,500773410.0751879,False,True,True,True
ltp_ltd,0.08,0.1,0.1,0.0,2026,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.0,2027,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.0,2028,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.0,2029,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.0,2030,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.02,2026,0.213739456696879,546182755.5135955,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.02,2027,0.21379695306094187,546208628.8774238,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.02,2028,0.21373659216859878,546181466.4758694,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.02,2029,0.21361386954590142,546126241.2956556,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.02,2030,0.2135416158061934,546093727.112787,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.05,2026,0.2261827373047312,551782231.787129,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.05,2027,0.22633477095970517,551850646.9318674,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.05,2028,0.2261751628309132,551778823.273911,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.05,2029,0.22585065589589617,551632795.1531533,False,False,False,True
ltp_ltd,0.08,0.1,0.1,0.05,2030,0.22565960033416826,551546820.1503757,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.0,2026,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.0,2027,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.0,2028,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.0,2029,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.0,2030,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.02,2026,0.427478913393758,642365511.027191,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.02,2027,0.42759390612188375,642417257.7548476,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.02,2028,0.42747318433719755,642362932.9517388,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.02,2029,0.42722773909180284,642252482.5913113,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.02,2030,0.4270832316123868,642187454.225574,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.05,2026,0.4523654746094624,653564463.5742581,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.05,2027,0.45266954191941033,653701293.8637347,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.05,2028,0.4523503256618264,653557646.5478219,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.05,2029,0.45170131179179235,653265590.3063065,False,False,False,True
ltp_ltd,0.08,0.2,0.2,0.05,2030,0.45131920066833653,653093640.3007513,False,False,False,True
ltp_ltd,0.1,0.0,0.05,0.0,2026,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.0,2027,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.0,2028,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.0,2029,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.0,2030,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.02,2026,0.1068697283484395,498091377.75679773,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.02,2027,0.10689847653047094,498104314.43871194,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.02,2028,0.10686829608429939,498090733.23793477,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.02,2029,0.10680693477295071,498063120.64782786,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.02,2030,0.1067708079030967,498046863.5563935,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.05,2026,0.1130913686523656,500891115.8935645,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.05,2027,0.11316738547985258,500925323.4659336,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.05,2028,0.1130875814154566,500889411.6369555,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.05,2029,0.11292532794794809,500816397.57657665,False,True,True,True
ltp_ltd,0.1,0.0,0.05,0.05,2030,0.11282980016708413,500773410.0751879,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.0,2026,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.0,2027,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.0,2028,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.0,2029,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.0,2030,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.02,2026,0.1068697283484395,498091377.75679773,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.02,2027,0.10689847653047094,498104314.43871194,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.02,2028,0.10686829608429939,498090733.23793477,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.02,2029,0.10680693477295071,498063120.64782786,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.02,2030,0.1067708079030967,498046863.5563935,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.05,2026,0.1130913686523656,500891115.8935645,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.05,2027,0.11316738547985258,500925323.4659336,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.05,2028,0.1130875814154566,500889411.6369555,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.05,2029,0.11292532794794809,500816397.57657665,False,True,True,True
ltp_ltd,0.1,0.02,0.05,0.05,2030,0.11282980016708413,500773410.0751879,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.0,2026,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.0,2027,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.0,2028,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.0,2029,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.0,2030,0.10272536687631027,496226415.09433955,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.02,2026,0.1068697283484395,498091377.75679773,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.02,2027,0.10689847653047094,498104314.43871194,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.02,2028,0.10686829608429939,498090733.23793477,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.02,2029,0.10680693477295071,498063120.64782786,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.02,2030,0.1067708079030967,498046863.5563935,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.05,2026,0.1130913686523656,500891115.8935645,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.05,2027,0.11316738547985258,500925323.4659336,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.05,2028,0.1130875814154566,500889411.6369555,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.05,2029,0.11292532794794809,500816397.57657665,False,True,True,True
ltp_ltd,0.1,0.05,0.05,0.05,2030,0.11282980016708413,500773410.0751879,False,True,True,True
ltp_ltd,0.1,0.1,0.1,0.0,2026,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.0,2027,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.0,2028,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.0,2029,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.0,2030,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.02,2026,0.213739456696879,546182755.5135955,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.02,2027,0.21379695306094187,546208628.8774238,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.02,2028,0.21373659216859878,546181466.4758694,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.02,2029,0.21361386954590142,546126241.2956556,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.02,2030,0.2135416158061934,546093727.112787,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.05,2026,0.2261827373047312,551782231.787129,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.05,2027,0.22633477095970517,551850646.9318674,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.05,2028,0.2261751628309132,551778823.273911,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.05,2029,0.22585065589589617,551632795.1531533,False,False,False,True
ltp_ltd,0.1,0.1,0.1,0.05,2030,0.22565960033416826,551546820.1503757,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.0,2026,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.0,2027,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.0,2028,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.0,2029,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.0,2030,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.02,2026,0.427478913393758,642365511.027191,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.02,2027,0.42759390612188375,642417257.7548476,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.02,2028,0.42747318433719755,642362932.9517388,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.02,2029,0.42722773909180284,642252482.5913113,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.02,2030,0.4270832316123868,642187454.225574,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.05,2026,0.4523654746094624,653564463.5742581,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.05,2027,0.45266954191941033,653701293.8637347,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.05,2028,0.4523503256618264,653557646.5478219,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.05,2029,0.45170131179179235,653265590.3063065,False,False,False,True
ltp_ltd,0.1,0.2,0.2,0.05,2030,0.45131920066833653,653093640.3007513,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.0,2026,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.0,2027,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.0,2028,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.0,2029,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.0,2030,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.02,2026,0.213739456696879,546182755.5135955,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.02,2027,0.21379695306094187,546208628.8774238,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.02,2028,0.21373659216859878,546181466.4758694,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.02,2029,0.21361386954590142,546126241.2956556,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.02,2030,0.2135416158061934,546093727.112787,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.05,2026,0.2261827373047312,551782231.787129,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.05,2027,0.22633477095970517,551850646.9318674,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.05,2028,0.2261751628309132,551778823.273911,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.05,2029,0.22585065589589617,551632795.1531533,False,False,False,True
ltp_ltd,0.2,0.0,0.1,0.05,2030,0.22565960033416826,551546820.1503757,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.0,2026,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.0,2027,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.0,2028,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.0,2029,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.0,2030,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.02,2026,0.213739456696879,546182755.5135955,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.02,2027,0.21379695306094187,546208628.8774238,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.02,2028,0.21373659216859878,546181466.4758694,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.02,2029,0.21361386954590142,546126241.2956556,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.02,2030,0.2135416158061934,546093727.112787,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.05,2026,0.2261827373047312,551782231.787129,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.05,2027,0.22633477095970517,551850646.9318674,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.05,2028,0.2261751628309132,551778823.273911,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.05,2029,0.22585065589589617,551632795.1531533,False,False,False,True
ltp_ltd,0.2,0.02,0.1,0.05,2030,0.22565960033416826,551546820.1503757,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.0,2026,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.0,2027,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.0,2028,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.0,2029,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.0,2030,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.02,2026,0.213739456696879,546182755.5135955,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.02,2027,0.21379695306094187,546208628.8774238,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.02,2028,0.21373659216859878,546181466.4758694,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.02,2029,0.21361386954590142,546126241.2956556,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.02,2030,0.2135416158061934,546093727.112787,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.05,2026,0.2261827373047312,551782231.787129,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.05,2027,0.22633477095970517,551850646.9318674,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.05,2028,0.2261751628309132,551778823.273911,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.05,2029,0.22585065589589617,551632795.1531533,False,False,False,True
ltp_ltd,0.2,0.05,0.1,0.05,2030,0.22565960033416826,551546820.1503757,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.0,2026,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.0,2027,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.0,2028,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.0,2029,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.0,2030,0.20545073375262055,542452830.1886792,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.02,2026,0.213739456696879,546182755.5135955,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.02,2027,0.21379695306094187,546208628.8774238,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.02,2028,0.21373659216859878,546181466.4758694,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.02,2029,0.21361386954590142,546126241.2956556,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.02,2030,0.2135416158061934,546093727.112787,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.05,2026,0.2261827373047312,551782231.787129,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.05,2027,0.22633477095970517,551850646.9318674,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.05,2028,0.2261751628309132,551778823.273911,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.05,2029,0.22585065589589617,551632795.1531533,False,False,False,True
ltp_ltd,0.2,0.1,0.1,0.05,2030,0.22565960033416826,551546820.1503757,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.0,2026,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.0,2027,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.0,2028,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.0,2029,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.0,2030,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.02,2026,0.427478913393758,642365511.027191,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.02,2027,0.42759390612188375,642417257.7548476,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.02,2028,0.42747318433719755,642362932.9517388,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.02,2029,0.42722773909180284,642252482.5913113,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.02,2030,0.4270832316123868,642187454.225574,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.05,2026,0.4523654746094624,653564463.5742581,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.05,2027,0.45266954191941033,653701293.8637347,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.05,2028,0.4523503256618264,653557646.5478219,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.05,2029,0.45170131179179235,653265590.3063065,False,False,False,True
ltp_ltd,0.2,0.2,0.2,0.05,2030,0.45131920066833653,653093640.3007513,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.0,2026,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.0,2027,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.0,2028,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.0,2029,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.0,2030,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.02,2026,0.427478913393758,642365511.027191,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.02,2027,0.42759390612188375,642417257.7548476,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.02,2028,0.42747318433719755,642362932.9517388,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.02,2029,0.42722773909180284,642252482.5913113,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.02,2030,0.4270832316123868,642187454.225574,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.05,2026,0.4523654746094624,653564463.5742581,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.05,2027,0.45266954191941033,653701293.8637347,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.05,2028,0.4523503256618264,653557646.5478219,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.05,2029,0.45170131179179235,653265590.3063065,False,False,False,True
ltp_ltd,0.4,0.0,0.2,0.05,2030,0.45131920066833653,653093640.3007513,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.0,2026,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.0,2027,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.0,2028,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.0,2029,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.0,2030,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.02,2026,0.427478913393758,642365511.027191,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.02,2027,0.42759390612188375,642417257.7548476,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.02,2028,0.42747318433719755,642362932.9517388,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.02,2029,0.42722773909180284,642252482.5913113,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.02,2030,0.4270832316123868,642187454.225574,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.05,2026,0.4523654746094624,653564463.5742581,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.05,2027,0.45266954191941033,653701293.8637347,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.05,2028,0.4523503256618264,653557646.5478219,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.05,2029,0.45170131179179235,653265590.3063065,False,False,False,True
ltp_ltd,0.4,0.02,0.2,0.05,2030,0.45131920066833653,653093640.3007513,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.0,2026,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.0,2027,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.0,2028,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.0,2029,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.0,2030,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.02,2026,0.427478913393758,642365511.027191,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.02,2027,0.42759390612188375,642417257.7548476,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.02,2028,0.42747318433719755,642362932.9517388,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.02,2029,0.42722773909180284,642252482.5913113,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.02,2030,0.4270832316123868,642187454.225574,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.05,2026,0.4523654746094624,653564463.5742581,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.05,2027,0.45266954191941033,653701293.8637347,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.05,2028,0.4523503256618264,653557646.5478219,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.05,2029,0.45170131179179235,653265590.3063065,False,False,False,True
ltp_ltd,0.4,0.05,0.2,0.05,2030,0.45131920066833653,653093640.3007513,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.0,2026,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.0,2027,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.0,2028,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.0,2029,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.0,2030,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.02,2026,0.427478913393758,642365511.027191,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.02,2027,0.42759390612188375,642417257.7548476,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.02,2028,0.42747318433719755,642362932.9517388,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.02,2029,0.42722773909180284,642252482.5913113,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.02,2030,0.4270832316123868,642187454.225574,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.05,2026,0.4523654746094624,653564463.5742581,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.05,2027,0.45266954191941033,653701293.8637347,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.05,2028,0.4523503256618264,653557646.5478219,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.05,2029,0.45170131179179235,653265590.3063065,False,False,False,True
ltp_ltd,0.4,0.1,0.2,0.05,2030,0.45131920066833653,653093640.3007513,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.0,2026,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.0,2027,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.0,2028,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.0,2029,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.0,2030,0.4109014675052411,634905660.3773586,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.02,2026,0.427478913393758,642365511.027191,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.02,2027,0.42759390612188375,642417257.7548476,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.02,2028,0.42747318433719755,642362932.9517388,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.02,2029,0.42722773909180284,642252482.5913113,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.02,2030,0.4270832316123868,642187454.225574,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.05,2026,0.4523654746094624,653564463.5742581,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.05,2027,0.45266954191941033,653701293.8637347,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.05,2028,0.4523503256618264,653557646.5478219,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.05,2029,0.45170131179179235,653265590.3063065,False,False,False,True
ltp_ltd,0.4,0.2,0.2,0.05,2030,0.45131920066833653,653093640.3007513,False,False,False,True
ltp_ltd,0.8,0.0,0.4,0.0,2026,0.9245283018867925,866037735.8490566,False,False,False,True
ltp_ltd,0.8,0.0,0.4,0.0,2027,0.9245283018867925,866037735.8490566,False,False,False,True
ltp_ltd,0.8,0.0,0.4,0.0,2028,0.9245283018867925,866037735.8490566,False,False,False,True
ltp_ltd,0.8,0.0,0.4,0.0,2029,0.9245283018867925,866037735.8490566,False,False,False,True
ltp_ltd,0.8,0.0,0.4,0.0,2030,0.9245283018867925,866037735.8490566,False,False,False,True
ltp_ltd,0.8,0.0,0.4,0.02,2026,0.9618275551359555,882822399.81118,False,False,False,True
ltp_ltd,0.8,0.0,0.4,0.02,2027,0.9620862887742384,882938829.9484073,False,False,False,True
